Name,Start Date,Tickets Available,Currency Type,Lowest Ticket Price,Highest Ticket Price,Ticket Limit,Seatmap,Promoter,Venue,Venue URL,Please Note
FREE SHOW: Live Band Karaoke with Hysteria Way,2/10/2025,2024-12-05T02:00:00Z,USD,0,0,,,,Transplants Brewing Company,https://www.ticketweb.com/venue/transplants-brewing-company-palmdale-ca/499645,"TICKETS WILL BE SENT 3 DAYS PRIOR TO EVENT AND YOUR NAME WILL ALSO APPEAR ON WILL CALL NO UNACCOMPANIED MINORS WILL BE ALLOWED ENTRY. NO REFUNDS. UNLESS OTHERWISE SPECIFIED OR ARRANGED, ADMISSION IS STANDING ROOM ONLY You must possess a valid Ticket that permits access to the Event and check in at marked locations during specified time periods. TICKET AND VALID ID REQUIRED YOUR TICKET Please be advised, the purchase and/or use of a Ticket to, and/or entry into, the Event shall constitute Your unconditional acceptance to be bound by any and all of the terms and conditions contained within this agreement (this Agreement) between You and Transplants Brewing LLC (the Company) to attend all or part of the Event and For safety reasons, Company reserves the right to, without any prior notice or compensation to You: postpone, cancel, interrupt or stop the Event; provisionally keep visitors on the Event site at the end of the Event; totally or partially vacate the Event site; and deny access to the Event site regardless of the possession of a valid Ticket. You understand that the artists and/or lineup for the Event may be changed and that such occurrence shall not, under any circumstances, entitle You to any claim whatsoever, including, but not limited to, a refund for Your Ticket. You understand, acknowledge, and agree that the names of any artist, act or performer contained in any Event promotional material is intended for informational purposes only, and does not, in any way, represent the importance or headline status of any single artist, act or performer, and is subject to change without prior notice. By entering the Event, You assume any and all risk and/or danger, known and unknown, foreseeable and unforeseeable, resulting from, or incidental to, the Event, whether occurring prior to, during, or subsequent to, the Event, including, but not limited to, any death, personal injury or loss, damage or liability whatsoever. You understand that Your use of Your Ticket is contingent upon Your voluntary assumption of the risk and danger that may result from, or be incidental to, Your presence at the Event, whether occurring prior to, during or after the Event, including, but not limited to, any actions or omissions of the Company Parties (as defined herein). SECURITY CHECK Please note all ticket holders will be searched upon entering the Event site. Security guards will inspect all objects brought onto the Event site including, but not limited to, clothing, luggage and other personal items in order to detect objects that may disrupt the course of the Event, jeopardize the safety of other ticketholders, or disturb the peace. Security guards may search any persons and property on the Event site at any time, including, but not limited to, storage lockers, and confiscate any prohibited items, in their sole discretion. CONDUCT AT THE EVENT You must heed the directions of Event organizers and security personnel at all times whilst on the Event site. If You fail to comply with such directions, You will be removed from the Event site, and, if necessary, Event staff may call on the police for assistance. INDEMNIFICATION You hereby indemnify and hold harmless Transplants Brewing LLC, their related companies, and each of their respective representatives, officers, directors, owners, members, trustees, agents, attorneys, employees, successors and assigns, and any other designated ticketing agent, Event sponsors/promoters, and the performing artists, including, but not limited to, their respective management, their agents, their staff and their designees (collectively, the Company Parties) harmless from any loss, liability, damage or cost in any way arising out of, or related to, Your actions and omissions at, around, or while traveling to and from, the Event."
Jabbawockeez,2/10/2025,2024-07-03T17:00:00Z,USD,57.21,107.21,There is an overall 12 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/2E0060D7B3A20BEB/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Jabbawockeez Theater at MGM Grand Hotel & Casino,https://www.ticketmaster.com/jabbawockeez-theater-at-mgm-grand-hotel-tickets-las-vegas/venue/376924,
David Gray: Past & Present Tour,2/10/2025,2024-09-20T17:00:00Z,USD,39.5,120.5,There is an 8 ticket limit per household.,https://mapsapi.tmol.io/maps/geometry/3/event/1C00611DE9AF520D/staticImage?type=png&systemId=HOST,ANOTHER PLANET,Fox Theater - Oakland,https://www.ticketmaster.com/fox-theater-oakland-tickets-oakland/venue/229846,Please note the Fox Theater is a cashless venue.
Palaye Royale,2/10/2025,2024-12-13T18:00:00Z,USD,27.5,50,,https://mapsapi.tmol.io/maps/geometry/3/event/1E006186EE543E54/staticImage?type=png&systemId=HOST,KNITTING FACTORY SPOKANE,Knitting Factory - Spokane,https://www.ticketmaster.com/knitting-factory-spokane-tickets-spokane/venue/246974,
Wunderhorse,2/10/2025,2024-09-13T17:00:00Z,USD,32.42,32.42,,,,The Independent,https://www.ticketweb.com/venue/the-independent-san-francisco-ca/16302,Support acts subject to change without refund.
KARAOKE FROM HELL,2/10/2025,2025-01-27T21:00:00Z,USD,5,5,,,,Dante's,https://www.ticketweb.com/venue/dantes-portland-or/21124,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
"Tuxedo, Gavin Turek",2/10/2025,2024-12-11T18:00:00Z,USD,34.03,156.55,,,,Music Box,https://www.ticketweb.com/venue/music-box-san-diego-ca/420435,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. TicketWeb is the official ticketing partner of Music Box San Diego. By clicking “Agree & Checkout” you acknowledge that you are prohibited from reselling this ticket via any secondary ticket marketplace."
Vince Giordano and the Nighthawks,2/11/2025,2024-11-13T17:00:00Z,USD,24.91,45.76,,,,Birdland Theater,https://www.ticketweb.com/venue/birdland-theater-new-york-ny/553788,
Ferguson,2/11/2025,2024-12-19T15:00:00Z,USD,21.45,21.45,There is an overall 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/00006191D38A30A8/staticImage?type=png&systemId=HOST,,Mercury Lounge,https://www.ticketmaster.com/mercury-lounge-tickets-new-york/venue/1101,State or Federal forms of ID will be required for entry.
Kerry King,2/11/2025,2024-10-04T14:00:00Z,USD,37.5,37.5,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0D00613ABDF1375E/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Jannus Live,https://www.ticketmaster.com/jannus-live-tickets-st-petersburg/venue/106731,
Ax and the Hatchetmen: Way Too Late Tour,2/11/2025,2024-08-23T14:00:00Z,USD,20,20,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/15006106C7C2314D/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,The Atlantis,https://www.ticketmaster.com/the-atlantis-tickets-washington/venue/172698,"Tickets are non-transferable until 72 hours prior to the show time. Any tickets suspected of being purchased for the sole purpose of reselling can be cancelled at the discretion of The Atlantis / Ticketmaster, and buyers may be denied future ticket purchases for I.M.P. shows. Opening acts, door times, and set times are always subject to change."
Apocalyptica Plays Metallica Vol. 2 Tour,2/11/2025,2024-06-14T14:00:00Z,USD,39.5,99.5,There is an four (4) ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/000060CAC37C3846/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Brooklyn Paramount,https://www.ticketmaster.com/brooklyn-paramount-tickets-brooklyn/venue/1367,Doors: 6:30 PM Show: 7:30 PM All set times and opening acts are subject to change without notice. Balcony Includes -Exclusive Entrance via Dekalb Ave. -Balcony Access -Private Bar -Private Bathrooms -Private Coat Check
"Norma Jean, Locus Ultra, and Limbs in Orlando",2/11/2025,2025-01-17T15:00:00Z,USD,27.5,27.5,,,,The Abbey,https://www.ticketweb.com/venue/the-abbey-orlando-fl/223245,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund."
WALLOWS - Model & More Tour,2/11/2025,2024-10-25T14:00:00Z,USD,50.5,90.5,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/080061482D9A4824/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,GLC Live at 20 Monroe,https://www.ticketmaster.com/glc-live-at-20-monroe-tickets-grand-rapids/venue/66234,"All Ages / Doors 6:30pm / Show 7:30pm. Will Call opens two hours prior to door time. All support acts are subject to change without notice. Wallows has partnered with PLUS1 so that $1 from every ticket sold goes to the PLUS1 Rapid Relief Fund to support relief efforts in the wake of Hurricanes Helene and Milton, including in North Carolina & Florida where the Model & More Tour will be making stops."
Aerosmith: PEACE OUT The Farewell Tour with The Black Crowes,2/11/2025,2024-04-12T14:00:00Z,USD,65.95,495.45,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/2200608488A61457/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Kia Center,https://www.ticketmaster.com/kia-center-tickets-orlando/venue/279548,"Unfortunately, the Event Organizer has had to cancel your event. You don't need to do a thing. We'll issue a refund to the original method of payment used at time of purchase, as soon as funds are received from the Event Organizer. It should appear on your account within 14-21 days. Please Note: If the tickets were transferred to you, the refund will go to the fan who originally purchased the tickets from Ticketmaster. Please see our Purchase Policy for more information."
"""tripleS Come True"" World Tour in HOUSTON",2/11/2025,2024-12-13T16:00:00Z,USD,40,179.5,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/3A006183AD451EAB/staticImage?type=png&systemId=HOST,HOUSE OF BLUES CONCERTS (HOB),House of Blues Houston,https://www.ticketmaster.com/house-of-blues-houston-tickets-houston/venue/475902,This is a seated floor event. Doors open at 6PM. General admission tickets are STANDING ROOM ONLY and are located on the wings/behind the seated floor.
Greensky Bluegrass,2/11/2025,2024-11-01T14:00:00Z,USD,25,59,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/1D006157B0C912CC/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Hackensack Meridian Health Theatre at the Count Basie Center ,https://www.ticketmaster.com/hackensack-meridian-health-theatre-at-the-tickets-red-bank/venue/237744,
Country Night at The Vogel with Saltwater Country,2/11/2025,2024-10-11T14:00:00Z,USD,15,15,There is an overall 8 ticket limit for this event.,,,The Vogel at Count Basie Center for the Arts,https://www.ticketmaster.com/the-vogel-at-count-basie-center-tickets-red-bank/venue/237777,
Max McNown,2/11/2025,2025-01-28T15:00:00Z,USD,25,75,There is an eight (8) ticket limit for this event. Table and Hi-Top seats must be purchased at a minimum of two (2) tickets.,https://mapsapi.tmol.io/maps/geometry/3/event/0000623BBE1A35BA/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Irving Plaza Powered By Verizon 5G,https://www.ticketmaster.com/irving-plaza-powered-by-verizon-5g-tickets-new-york/venue/47,Preferred Balcony Ticket Includes Front of the Line Access and Balcony Access Age Restriction: 16+ Unless Accompanied by a Guardian All set times and opening acts are subject to change without notice ** THIS SHOW WAS ORIGINALLY SCHEDULED AT BOWERY BALLROOM. ALL PREVIOUSLY PURCHASED TICKETS WILL BE HONORED AT IRVING PLAZA **
Catherine Russell,2/11/2025,2024-11-12T18:00:00Z,USD,45.76,56.06,,,,Birdland Jazz Club,https://www.ticketweb.com/venue/birdland-jazz-club-new-york-ny/426135,
"Newgrounds Death Rugby with Bummer Hill, Flowers For Emily, and Better Place",2/11/2025,2024-12-20T17:00:00Z,USD,15,15,,,,Will's Pub,https://www.ticketweb.com/venue/wills-pub-orlando-fl/30295,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund."
"Neurotic, Fossil, Vauli, Complete Utter Opposite",2/11/2025,2025-01-11T15:00:00Z,USD,15,15,,,,Middle East - Upstairs,https://www.ticketweb.com/venue/middle-east--upstairs-cambridge-ma/18394,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund. FAQ: *WILL CALL CUSTOMERS* - Will Call pick up is located at the Door when doors open, night of show (*NOTE: Will Call never closes), you'll just need to show your I.D. **PLEASE NOTE: The time listed on the ticket is the time when doors open, not when the performance starts. For up to date set times, check www.twitter.com/MidEastClub or call our Box Office Hotline at 1-617-864-3278 and enter *100 at the prompt. TERMS AND CONDITIONS: NO VAPING OR SMOKING IN THE BUILDING I understand that my email address will be added to the venue and/or promoter's email update list and I know that I am welcome to unsubscribe at any time. I understand that VALID I.D. is required for entry for events that are 18+ or 21+ and that if I do not provide a VALID I.D. I will be denied admission. I understand that for All Ages events VALID I.D. is only required by anyone over 21 who wishes to purchase or consume alcohol, regardless of apparent age - NO EXCEPTIONS. I understand that if I am over 21 and do not provide valid I.D., I will not be served alcohol. I understand that anyone who consumes alcohol without having provided proper I.D. or is under 21 will be ejected from the venue without refund. I understand that, per order of the City of Cambridge, only the following forms of I.D. are considered valid: * a current US- or Canada-issued driver's license, * a current Massachusetts liquor I.D., * a current US Military I.D., or * a current Passport. I understand that student I.D.'s and foreign driver's licenses are NOT considered valid. I understand that if I try to use a student I.D. or foreign driver's license, I will be denied admission. I realize that this I.D. policy is required by law and not subject to staff discretion."
"SESAC Presents: In The Round with Julia Minichiello, Jess Cayne, David DeVaul & Dawson Anderson",2/11/2025,2025-02-04T14:00:00Z,USD,0,0,,,,The Bluebird Cafe,https://www.ticketweb.com/venue/the-bluebird-cafe-nashville-tn/503035,"***Please note, when you make a reservation at The Bluebird Cafe, you are agreeing to the following terms & conditions: • All ticket reservations are non-refundable. • Ticket reservations at The Bluebird Cafe are an agreement to pay the non-refundable cover charge and applicable taxes/fees and to meet the $12.00 per seat food and/or drink minimum. • If you are a “no show”, we reserve the right to charge your credit card for the $12.00 minimum for each seat in your reservation. • Ticket reservations are for your personal use. They are NOT transferrable and NOT for resale! We perform random I.D. checks and the name on the reservation must match the name on the I.D. • Please call (615-383-1461) or email (info@bluebirdcafe.com) to cancel your reservation AT LEAST 24 hours in advance. PLEASE NOTE if your reservations are for a Saturday or Sunday evening show, you need to cancel by 9:00 a.m. the Friday before or risk being charged. • Attendees are expected to show up by the start of the show for which they have tickets. Seats that are unclaimed once the show has started will be seated from the walk-up line. • Performers are subject to change. • Bar seats are only for customers 21 years of age or older. • Any guest under the age of 18 must be seated with a parent or guardian. • We require accessible seat requests to be made two weeks in advance of the show date for guaranteed accessible seats. If you made a reservation outside of that window using our online system, please call The Bluebird Cafe during office hours and we will do our best to accommodate your needs. Please know that if you reserved outside of the two week window, accessible seats are not guaranteed. • The Bluebird Cafe is a listening room. If you do not honor our SHHHH! policy (being quiet while the performers are on stage) you may be asked to leave. • No outside food and/or drink is allowed inside the venue. • Still photography is allowed, unless the artist requests otherwise. • RECORDING COPYRIGHTED MATERIAL (VIDEO OR AUDIO) IS PROHIBITED. • Parking is limited. We suggest for ticket holders to use rideshare apps such as Uber or Lyft for your visit, if possible. For those wanting to park, we have a small lot directly in front of the cafe and a larger gravel lot behind the cafe. To access our gravel lot, please use the alley entrance on Hillsboro Pike next to AT&T. Please do not utilize our neighbors’ parking lots, as they enforce towing and do NOT park at AT&T. All guests must enter and check in through our main entrance on Hillsboro Pike. • For the safety and comfort of all our guests, Bluebird Cafe management has the right to refuse service to anyone who is aggressive, hostile or appears to be intoxicated."
Hippo Campus - FLOOD Tour,2/11/2025,2024-09-13T14:00:00Z,USD,35,65,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0800611ABA5D1946/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Fillmore Detroit,https://www.ticketmaster.com/the-fillmore-detroit-tickets-detroit/venue/65587,All ages welcome! Doors open at 7:00pm. Show starts at 8:00pm. All support acts are subject to change without notice.
Destroy Lonely: FOREVER TOUR,2/11/2025,2024-11-01T15:00:00Z,USD,50,85,There is an overall 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/06006156FD237529/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Fillmore Minneapolis presented by Affinity Plus,https://www.ticketmaster.com/fillmore-minneapolis-presented-by-affinity-plus-tickets-minneapolis/venue/50721,"DOORS: 6PM SHOW: 7PM THIS SHOW IS ALL AGES. All support acts are subject to change without notice. The Fillmore Minneapolis Box Office is located at 505 5th Street North Minneapolis, MN 55401"
Jamie Miller,2/11/2025,2024-11-01T14:00:00Z,USD,25,25,There is an eight (8) ticket limit per customer.,https://mapsapi.tmol.io/maps/geometry/3/event/0100615907FC8CE1/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Brighton Music Hall presented by Citizens,https://www.ticketmaster.com/brighton-music-hall-presented-by-citizens-tickets-boston/venue/9089,
Marty Friedman,2/11/2025,2024-08-02T14:00:00Z,USD,29.5,65,,https://mapsapi.tmol.io/maps/geometry/3/event/010060FD900D1F66/staticImage?type=png&systemId=HOST,,Tally Ho Theater,https://www.ticketmaster.com/tally-ho-theater-tickets-leesburg/venue/9383,
Jack Kays - Washed Up Dried Out,2/11/2025,2024-10-04T14:00:00Z,USD,24,24,There is an overall 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0D00613943C24BF5/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Orpheum,https://www.ticketmaster.com/orpheum-tickets-tampa/venue/106788,
Mary J. Blige: The For My Fans Tour with NE-YO & Mario,2/11/2025,2024-10-04T14:00:00Z,USD,125,355,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0D00613A981320DA/staticImage?type=png&systemId=HOST,,Hard Rock Live,https://www.ticketmaster.com/hard-rock-live-tickets-hollywood/venue/107337,
Gouge Away,2/11/2025,2024-11-12T17:00:00Z,USD,18.5,18.5,There is a limit of eight tickets per household.,,MISCELLANEOUS PROMOTER,The Masquerade - Purgatory,https://www.ticketmaster.com/the-masquerade-purgatory-tickets-atlanta/venue/115853,$.50 per ticket to be donated to Y'all Rock Camp Atlanta
Drew & Ellie Holcomb,2/11/2025,2024-10-18T15:00:00Z,USD,36,66,There is an overall 99 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/22006149200C2044/staticImage?type=png&systemId=HOST,HOUSE OF BLUES CONCERTS (HOB),House of Blues Orlando,https://www.ticketmaster.com/house-of-blues-orlando-tickets-orlando/venue/279150,"Drew & Ellie Holcomb have partnered with the anti-slavery non-profit International Justice Mission to donate $1 (one dollar) from each ticket sale to support the organization's efforts to rescue children trapped in modern-day slavery and protect people in poverty from violence. Based on the latest local guidelines, attendees are no longer required to provide proof of negative COVID-19 test AND/OR vaccination for entry into this event. Be sure to check your venue website for the latest updates and guidelines as entry requirements are subject to change. Acts subject to change without notice Support: TBA Upgrade your experience - https://sevenrooms.com/events/hoborlando/hobwebsite"
Mdou Moctar (Special Acoustic Performance),2/11/2025,2024-12-11T15:00:00Z,USD,35,35,There is an eight (8) ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/15006184A7853908/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Birchmere,https://www.ticketmaster.com/birchmere-tickets-alexandria/venue/172043,Will Call may be picked up at the Box Office as early as 5pm the night of the show.
Kylie Morgan & Friends - Songwriter night benefitting Small World Yoga,2/11/2025,2025-02-02T16:00:00Z,USD,75,75,,https://mapsapi.tmol.io/maps/geometry/3/event/1B006229B3B9684F/staticImage?type=png&systemId=HOST,MISCELLANEOUS PROMOTER,Riverside Revival,https://www.ticketmaster.com/riverside-revival-tickets-nashville/venue/222832,
Barron Ryan Trio: There Arises Light (in the Darkness),2/11/2025,,USD,30,30,,https://mapsapi.tmol.io/maps/geometry/3/event/020061919D581BED/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Kulkarni Theatre at Penn State Harrisburg,https://www.ticketmaster.com/kulkarni-theatre-at-penn-state-harrisburg-tickets-middletown/venue/17206,"Discover Music That Moves You! Join us for an unforgettable evening of music with pianist and Tulsa native Barron Ryan, named one of Smithsonian Magazine's ""One of Ten Innovators to Watch."" Accompanied by a trio including cello and violin, Barron will take you on a captivating journey of struggle, discovery, and triumph?featuring iconic pieces from the classical canon and an original composition commemorating the 1921 Tulsa Race Massacre."
Courtney Swain,2/11/2025,2024-10-29T16:00:00Z,USD,34,34,,https://mapsapi.tmol.io/maps/geometry/3/event/01006154EBC25548/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Crystal Ballroom at Somerville Theatre,https://www.ticketmaster.com/crystal-ballroom-at-somerville-theatre-tickets-somerville/venue/9392,
Herb Alpert & The Tijuana Brass & Other Delights,2/11/2025,2024-09-05T14:00:00Z,USD,45,85,There is an overall 9 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0D00611AB87E20D1/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Wells Hall at The Parker,https://www.ticketmaster.com/wells-hall-at-the-parker-tickets-ft-lauderdale/venue/106828,"To become a member of the Broward Center, including The Parker, and receive access to great seats and presales, visit BrowardCenter.org/Entourage today. Visit ParkerPlayhouse.com/visit before you go to the show for info on parking, dining, concessions and premium experiences The Haller Club and The Place To Be. For group discounts visit BrowardCenter.org/group-sales."
Dream Theater: 40th Anniversary Tour,2/11/2025,2024-09-13T14:00:00Z,USD,59,195.5,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0E006124AC056EF3/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Coca-Cola Roxy,https://www.ticketmaster.com/cocacola-roxy-tickets-atlanta/venue/115798,This is an all ages event. Doors: 6:30pm Show: 7:30pm This is an all reserved seating show
Molchat Doma - Molchat Doma Tour 2025,2/11/2025,2024-08-09T14:00:00Z,USD,35,55,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/150060FE9A311C6C/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,The Anthem,https://www.ticketmaster.com/the-anthem-tickets-washington/venue/172624,"General Admission tickets are non-transferrable until 72 hours prior to the show time. Super Excellent Seats are non-transferrable and day-of-show pick up only. Prior to doors, Super Excellent Seats can be picked up at the box office. After doors, Super Excellent Seats can be picked up at the entrance located at 900 Maine Ave. Any tickets suspected of being purchased for the sole purpose of reselling can be cancelled at the discretion of The Anthem / Ticketmaster, and buyers may be denied future ticket purchases for I.M.P. shows. Opening acts, door times, and set times are always subject to change."
Latin Mafia,2/11/2025,2024-10-30T14:00:00Z,USD,54.5,74.5,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/15006157A0DB1E12/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Fillmore Silver Spring,https://www.ticketmaster.com/the-fillmore-silver-spring-tickets-silver-spring/venue/172548,This is a General Admission - Standing Room Only Event with Reserved Seating in the Balcony. This Show is for All Ages.
Garrison Keillor,2/11/2025,2024-12-06T16:00:00Z,USD,39.5,69.5,,https://mapsapi.tmol.io/maps/geometry/3/event/2000617A0E622A07/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,VBC Mars Music Hall,https://www.ticketmaster.com/vbc-mars-music-hall-tickets-huntsville/venue/263166,The VBC is a cashless venue.
Carpenters Legacy,2/11/2025,2025-01-05T20:00:00Z,USD,59.98,79.98,,https://mapsapi.tmol.io/maps/geometry/3/event/170062240BE284B8/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,V Theater at Planet Hollywood Inside the Miracle Mile Mall,https://www.ticketmaster.com/v-theater-at-planet-hollywood-inside-tickets-las-vegas/venue/189381,Parental Discretion Advised
